Algorithm,Performance_Metric_New,Performance_Metric,Unigram,Unigram_Composite,Unigram_Bigram,Unigram_Bigram_Trigram,Unigram_Bigram_Trigram_Composite,Neg_Pos,Part_Of_Speech,Composite_Numerical,Category,Data_Size
NNET,meanAccuracy,cv_NNET_train.meanAccuracy,0.499114898,0.500471007,0.499171789,0.500714911,0.500471007,0.49917617,0.49917617,0.49917617,Camera,2k
NNET,meanPrecision,cv_NNET_train.meanPrecision,0.499,0.501,0.499,0.501,0.501,0.499,0.499,0.499,Camera,2k
NNET,meanRecall,cv_NNET_train.meanRecall,1,1,1,1,1,1,1,1,Camera,2k
NNET,meanFscore,cv_NNET_train.meanFscore,0.664016488,0.666619639,0.665131336,0.667171805,0.666619639,0.665499125,0.665499125,0.665499125,Camera,2k
SLDA,meanAccuracy,cv_SLDA_train.meanAccuracy,0.849330637,0.813178985,0.853660912,0.852416786,0.815302667,0.786962464,0.642067541,0.82058065,Camera,2k
SLDA,meanPrecision,cv_SLDA_train.meanPrecision,0.878,0.838,0.877,0.881,0.844,0.796,0.67,0.847,Camera,2k
SLDA,meanRecall,cv_SLDA_train.meanRecall,0.812,0.781,0.822,0.816,0.778,0.78,0.561,0.783,Camera,2k
SLDA,meanFscore,cv_SLDA_train.meanFscore,0.842337153,0.807811517,0.847648414,0.846741231,0.809163972,0.785690029,0.609187274,0.812240055,Camera,2k
BOOSTING,meanAccuracy,cv_BOOSTING_train.meanAccuracy,0.895745275,0.892466182,0.900437348,0.901152704,0.894494234,0.889462005,0.888798274,0.877993097,Camera,2k
BOOSTING,meanPrecision,cv_BOOSTING_train.meanPrecision,0.898,0.875,0.901,0.903,0.883,0.849,0.706666667,0.846,Camera,2k
BOOSTING,meanRecall,cv_BOOSTING_train.meanRecall,0.807,0.873,0.834,0.838,0.874,0.849,0.744444444,0.871,Camera,2k
BOOSTING,meanFscore,cv_BOOSTING_train.meanFscore,0.848288007,0.873295684,0.865527647,0.868784062,0.877751215,0.847871055,0.717440058,0.857744475,Camera,2k
NaiveBayes,meanAccuracy,cv_NaiveBayes_train.meanAccuracy,0.705211634,0.694090503,0.725500774,0.726751109,0.725415802,0.653223431,0.52369855,0.58947748,Laptop,2k
NaiveBayes,meanPrecision,cv_NaiveBayes_train.meanPrecision,0.654,0.645,0.68,0.675,0.674,0.601,0.514,0.557,Laptop,2k
NaiveBayes,meanRecall,cv_NaiveBayes_train.meanRecall,0.873,0.87,0.863,0.872,0.872,0.901,0.807,0.85,Laptop,2k
NaiveBayes,meanFscore,cv_NaiveBayes_train.meanFscore,0.746561687,0.739008982,0.759472897,0.760462673,0.759449459,0.720459702,0.627400688,0.672445023,Laptop,2k
MX,meanAccuracy,cv_MX_train.meanAccuracy,0.951922091,0.961961999,0.958056853,0.957767042,0.964408787,0.802443079,0.7055366,0.833604372,Laptop,2k
MX,meanPrecision,cv_MX_train.meanPrecision,0.946,0.969,0.954,0.953,0.975,0.793,0.7,0.836,Laptop,2k
MX,meanRecall,cv_MX_train.meanRecall,0.957,0.954,0.963,0.962,0.952,0.818,0.719,0.826,Laptop,2k
MX,meanFscore,cv_MX_train.meanFscore,0.951101528,0.961309185,0.958377285,0.95737122,0.963227471,0.804189551,0.708329872,0.829832003,Laptop,2k
SVM,meanAccuracy,cv_SVM_train.meanAccuracy,0.823950495,0.620577814,0.827681376,0.831849008,0.62143138,0.56042391,0.618818168,0.574871832,Laptop,2k
SVM,meanPrecision,cv_SVM_train.meanPrecision,0.85,0.592,0.859,0.862,0.593,0.547,0.59,0.548,Laptop,2k
SVM,meanRecall,cv_SVM_train.meanRecall,0.786,0.785,0.786,0.789,0.771,0.79,0.78,0.851,Laptop,2k
SVM,meanFscore,cv_SVM_train.meanFscore,0.81596379,0.673449786,0.820066649,0.823390412,0.668781605,0.629537026,0.670284256,0.665280993,Laptop,2k
BG,meanAccuracy,cv_BG_train.meanAccuracy,0.795427501,0.841164064,0.796459418,0.790101095,0.847563606,0.795179211,0.683518378,0.814662329,Laptop,2k
BG,meanPrecision,cv_BG_train.meanPrecision,0.788,0.838,0.794,0.786,0.84,0.794,0.688,0.816,Laptop,2k
BG,meanRecall,cv_BG_train.meanRecall,0.812,0.848,0.802,0.798,0.858,0.796,0.672,0.813,Laptop,2k
BG,meanFscore,cv_BG_train.meanFscore,0.798967044,0.842150115,0.797537792,0.791037035,0.848243175,0.793544124,0.677757991,0.813748668,Laptop,2k
TREE,meanAccuracy,cv_TREE_train.meanAccuracy,0.740138203,0.79641262,0.742815148,0.733157669,0.79212293,0.795522943,0.657684437,0.785676697,Laptop,2k
TREE,meanPrecision,cv_TREE_train.meanPrecision,0.713,0.778,0.717,0.703,0.775,0.779,0.676,0.77,Laptop,2k
TREE,meanRecall,cv_TREE_train.meanRecall,0.806,0.833,0.803,0.803,0.823,0.83,0.611,0.821,Laptop,2k
TREE,meanFscore,cv_TREE_train.meanFscore,0.755185035,0.803189598,0.756951559,0.748773076,0.797192106,0.801258609,0.639363148,0.791867133,Laptop,2k
RF,meanAccuracy,cv_RF_train.meanAccuracy,0.865638046,0.871704865,0.871044925,0.870814837,0.880556469,0.813080078,0.702432766,0.832532473,Laptop,2k
RF,meanPrecision,cv_RF_train.meanPrecision,0.899,0.875,0.907,0.904,0.881,0.809,0.711,0.832,Laptop,2k
RF,meanRecall,cv_RF_train.meanRecall,0.824,0.867,0.826,0.828,0.882,0.816,0.683,0.833,Laptop,2k
RF,meanFscore,cv_RF_train.meanFscore,0.859081932,0.87034973,0.864164282,0.863891893,0.880777945,0.811427728,0.695550249,0.832012322,Laptop,2k
NNET,meanAccuracy,cv_NNET_train.meanAccuracy,0.499366204,0.499644592,0.500924925,0.499249705,0.499644592,0.499622475,0.499622475,0.499622475,Laptop,2k
NNET,meanPrecision,cv_NNET_train.meanPrecision,0.499,0.501,0.499,0.5,0.501,0.5,0.5,0.5,Laptop,2k
NNET,meanRecall,cv_NNET_train.meanRecall,1,1,1,1,1,1,1,1,Laptop,2k
NNET,meanFscore,cv_NNET_train.meanFscore,0.664797655,0.6666643,0.665199898,0.665974782,0.6666643,0.66591766,0.66591766,0.66591766,Laptop,2k
SLDA,meanAccuracy,cv_SLDA_train.meanAccuracy,0.857101892,0.810679758,0.86068017,0.859683372,0.80558248,0.78163128,0.630651435,0.822646248,Laptop,2k
SLDA,meanPrecision,cv_SLDA_train.meanPrecision,0.878,0.813,0.879,0.879,0.814,0.766,0.632,0.814,Laptop,2k
SLDA,meanRecall,cv_SLDA_train.meanRecall,0.829,0.808,0.839,0.831,0.793,0.824,0.64,0.837,Laptop,2k
SLDA,meanFscore,cv_SLDA_train.meanFscore,0.851581826,0.809198029,0.857236164,0.853988623,0.802603418,0.791403318,0.634174601,0.824185564,Laptop,2k
BOOSTING,meanAccuracy,cv_BOOSTING_train.meanAccuracy,0.88354563,0.883421725,0.893812349,0.894764645,0.8941957,0.882908861,0.828103982,0.873030951,Laptop,2k
BOOSTING,meanPrecision,cv_BOOSTING_train.meanPrecision,0.873,0.867,0.884,0.885,0.882,0.838,0.723,0.852,Laptop,2k
BOOSTING,meanRecall,cv_BOOSTING_train.meanRecall,0.82,0.869,0.848,0.845,0.872,0.864,0.722,0.827,Laptop,2k
BOOSTING,meanFscore,cv_BOOSTING_train.meanFscore,0.844912907,0.866439748,0.864721848,0.863520362,0.875470456,0.849364246,0.718438546,0.837584455,Laptop,2k
NaiveBayes,meanAccuracy,cv_NaiveBayes_train.meanAccuracy,0.762761026,0.743951235,0.80342719,0.808203658,0.807941623,0.702270219,0.517149807,0.597900282,Mobile,2k
NaiveBayes,meanPrecision,cv_NaiveBayes_train.meanPrecision,0.724,0.695,0.807,0.813,0.799,0.644,0.51,0.558,Mobile,2k
NaiveBayes,meanRecall,cv_NaiveBayes_train.meanRecall,0.845,0.875,0.806,0.801,0.83,0.906,0.909,0.926,Mobile,2k
NaiveBayes,meanFscore,cv_NaiveBayes_train.meanFscore,0.779137152,0.774087178,0.803075525,0.804346223,0.812212939,0.752064669,0.652720837,0.695723512,Mobile,2k
MX,meanAccuracy,cv_MX_train.meanAccuracy,0.921705717,0.940654079,0.935672752,0.937940687,0.943832743,0.84149211,0.732222878,0.852334434,Mobile,2k
MX,meanPrecision,cv_MX_train.meanPrecision,0.917,0.935,0.933,0.936,0.944,0.822,0.734,0.833,Mobile,2k
MX,meanRecall,cv_MX_train.meanRecall,0.93,0.948,0.939,0.942,0.943,0.87,0.725,0.88,Mobile,2k
MX,meanFscore,cv_MX_train.meanFscore,0.923254282,0.941376499,0.935803495,0.938861943,0.943317538,0.844867886,0.728789931,0.855522289,Mobile,2k
SVM,meanAccuracy,cv_SVM_train.meanAccuracy,0.754041436,0.650481779,0.790426139,0.785523638,0.658784989,0.591122562,0.629651867,0.598776577,Mobile,2k
SVM,meanPrecision,cv_SVM_train.meanPrecision,0.764,0.622,0.799,0.792,0.632,0.579,0.605,0.572,Mobile,2k
SVM,meanRecall,cv_SVM_train.meanRecall,0.745,0.769,0.778,0.776,0.763,0.76,0.748,0.805,Mobile,2k
SVM,meanFscore,cv_SVM_train.meanFscore,0.752408285,0.68693379,0.787844878,0.783070924,0.690529445,0.644430143,0.668164658,0.667503472,Mobile,2k
BG,meanAccuracy,cv_BG_train.meanAccuracy,0.795713345,0.855122517,0.805436263,0.810112041,0.856762592,0.817801246,0.674118347,0.841230649,Mobile,2k
BG,meanPrecision,cv_BG_train.meanPrecision,0.776,0.839,0.787,0.792,0.842,0.81,0.678,0.832,Mobile,2k
BG,meanRecall,cv_BG_train.meanRecall,0.831,0.882,0.837,0.848,0.881,0.828,0.665,0.855,Mobile,2k
BG,meanFscore,cv_BG_train.meanFscore,0.801596989,0.859066982,0.810825939,0.817498328,0.860143519,0.818063712,0.670445157,0.842694816,Mobile,2k
TREE,meanAccuracy,cv_TREE_train.meanAccuracy,0.751028403,0.836795875,0.749964146,0.742155639,0.835851722,0.835783479,0.654503103,0.830018416,Mobile,2k
TREE,meanPrecision,cv_TREE_train.meanPrecision,0.725,0.795,0.705,0.697,0.799,0.796,0.667,0.793,Mobile,2k
TREE,meanRecall,cv_TREE_train.meanRecall,0.816,0.911,0.859,0.867,0.9,0.906,0.631,0.893,Mobile,2k
TREE,meanFscore,cv_TREE_train.meanFscore,0.764396901,0.848415555,0.773624614,0.771096867,0.845615512,0.84687963,0.644600912,0.839479304,Mobile,2k
RF,meanAccuracy,cv_RF_train.meanAccuracy,0.843567762,0.882061946,0.857168541,0.851601936,0.879851424,0.841374278,0.691244586,0.853260451,Mobile,2k
RF,meanPrecision,cv_RF_train.meanPrecision,0.862,0.871,0.875,0.873,0.868,0.827,0.688,0.838,Mobile,2k
RF,meanRecall,cv_RF_train.meanRecall,0.82,0.901,0.837,0.823,0.896,0.862,0.701,0.875,Mobile,2k
RF,meanFscore,cv_RF_train.meanFscore,0.839374244,0.884990392,0.854989278,0.846369231,0.880984458,0.843443323,0.693753352,0.855600928,Mobile,2k
NNET,meanAccuracy,cv_NNET_train.meanAccuracy,0.500039701,0.500070078,0.500439231,0.500594911,0.500070078,0.500705557,0.500705557,0.500705557,Mobile,2k
NNET,meanPrecision,cv_NNET_train.meanPrecision,0.501,0.501,0.499,0.5,0.501,0.499,0.499,0.499,Mobile,2k
NNET,meanRecall,cv_NNET_train.meanRecall,1,1,1,1,1,1,1,1,Mobile,2k
NNET,meanFscore,cv_NNET_train.meanFscore,0.667150258,0.667115106,0.665171679,0.665664067,0.667115106,0.665249915,0.665249915,0.665249915,Mobile,2k
SLDA,meanAccuracy,cv_SLDA_train.meanAccuracy,0.829007035,0.79852066,0.848444564,0.849780981,0.810199888,0.799691575,0.627589812,0.840378671,Mobile,2k
SLDA,meanPrecision,cv_SLDA_train.meanPrecision,0.822,0.806,0.857,0.863,0.813,0.783,0.633,0.833,Mobile,2k
SLDA,meanRecall,cv_SLDA_train.meanRecall,0.837,0.79,0.834,0.832,0.809,0.881,0.612,0.855,Mobile,2k
SLDA,meanFscore,cv_SLDA_train.meanFscore,0.828645872,0.796966925,0.844744575,0.846749305,0.80979275,0.82085571,0.62027101,0.843422377,Mobile,2k
BOOSTING,meanAccuracy,cv_BOOSTING_train.meanAccuracy,0.920538287,0.905272165,0.917128804,0.921435192,0.902611247,0.910979676,0.845290305,0.89142481,Mobile,2k
BOOSTING,meanPrecision,cv_BOOSTING_train.meanPrecision,0.913,0.897,0.913,0.921,0.889,0.858,0.71,0.855,Mobile,2k
BOOSTING,meanRecall,cv_BOOSTING_train.meanRecall,0.837,0.889,0.845,0.854,0.892,0.915,0.815,0.89,Mobile,2k
BOOSTING,meanFscore,cv_BOOSTING_train.meanFscore,0.872297291,0.892078113,0.876458546,0.885372032,0.888524291,0.885351837,0.756118298,0.87131062,Mobile,2k
NaiveBayes,meanAccuracy,cv_NaiveBayes_train.meanAccuracy,0.774505774,0.78689718,0.796079606,0.792025405,0.806073075,0.768431376,0.534360435,0.6433613,Tablet,2k
NaiveBayes,meanPrecision,cv_NaiveBayes_train.meanPrecision,0.859,0.862,0.873,0.877,0.887,0.801,0.532,0.617,Tablet,2k
NaiveBayes,meanRecall,cv_NaiveBayes_train.meanRecall,0.657,0.679,0.693,0.677,0.7,0.721,0.88,0.889,Tablet,2k
NaiveBayes,meanFscore,cv_NaiveBayes_train.meanFscore,0.74324482,0.758951955,0.770854518,0.763733056,0.781735667,0.754861651,0.641763949,0.711378814,Tablet,2k
MX,meanAccuracy,cv_MX_train.meanAccuracy,0.937984018,0.954536016,0.948772269,0.94537343,0.957430744,0.823230064,0.681639136,0.849625811,Tablet,2k
MX,meanPrecision,cv_MX_train.meanPrecision,0.94,0.964,0.955,0.955,0.967,0.84,0.675,0.866,Tablet,2k
MX,meanRecall,cv_MX_train.meanRecall,0.932,0.946,0.941,0.937,0.949,0.803,0.705,0.831,Tablet,2k
MX,meanFscore,cv_MX_train.meanFscore,0.935798526,0.954689595,0.947672201,0.945665018,0.957796004,0.820441464,0.688825705,0.847140897,Tablet,2k
SVM,meanAccuracy,cv_SVM_train.meanAccuracy,0.791663636,0.639776291,0.808977832,0.809495559,0.653718735,0.569037924,0.611285272,0.566614567,Tablet,2k
SVM,meanPrecision,cv_SVM_train.meanPrecision,0.77,0.612,0.785,0.791,0.628,0.547,0.589,0.548,Tablet,2k
SVM,meanRecall,cv_SVM_train.meanRecall,0.839,0.764,0.853,0.843,0.765,0.81,0.739,0.802,Tablet,2k
SVM,meanFscore,cv_SVM_train.meanFscore,0.801198486,0.677559242,0.816825891,0.815352848,0.687837696,0.650579054,0.65445886,0.649660447,Tablet,2k
BG,meanAccuracy,cv_BG_train.meanAccuracy,0.806181468,0.851561672,0.819239485,0.825025301,0.849497998,0.807412084,0.657722613,0.821353398,Tablet,2k
BG,meanPrecision,cv_BG_train.meanPrecision,0.783,0.842,0.809,0.809,0.841,0.803,0.664,0.818,Tablet,2k
BG,meanRecall,cv_BG_train.meanRecall,0.843,0.869,0.836,0.851,0.863,0.818,0.653,0.832,Tablet,2k
BG,meanFscore,cv_BG_train.meanFscore,0.811030632,0.854679768,0.820929755,0.828505517,0.851083393,0.809926756,0.656041842,0.824400821,Tablet,2k
TREE,meanAccuracy,cv_TREE_train.meanAccuracy,0.740207737,0.842298438,0.751177235,0.74792696,0.842298438,0.820638329,0.58242992,0.820638329,Tablet,2k
TREE,meanPrecision,cv_TREE_train.meanPrecision,0.691,0.822,0.705,0.701,0.822,0.822,0.594,0.819,Tablet,2k
TREE,meanRecall,cv_TREE_train.meanRecall,0.859,0.873,0.86,0.863,0.873,0.822,0.597,0.825,Tablet,2k
TREE,meanFscore,cv_TREE_train.meanFscore,0.765231815,0.84608071,0.774096327,0.773437016,0.84608071,0.82141574,0.580596312,0.8214288,Tablet,2k
RF,meanAccuracy,cv_RF_train.meanAccuracy,0.862495168,0.870440773,0.867389107,0.876826123,0.875364733,0.828279728,0.685242272,0.834899206,Tablet,2k
RF,meanPrecision,cv_RF_train.meanPrecision,0.855,0.866,0.873,0.882,0.87,0.828,0.696,0.833,Tablet,2k
RF,meanRecall,cv_RF_train.meanRecall,0.874,0.879,0.861,0.871,0.886,0.835,0.671,0.842,Tablet,2k
RF,meanFscore,cv_RF_train.meanFscore,0.863675763,0.87176202,0.86569483,0.875619768,0.877194321,0.830784688,0.681157924,0.836464879,Tablet,2k
NNET,meanAccuracy,cv_NNET_train.meanAccuracy,0.498959083,0.499293888,0.499954556,0.500860393,0.499293888,0.502386306,0.502386306,0.502386306,Tablet,2k
NNET,meanPrecision,cv_NNET_train.meanPrecision,0.499,0.5,0.5,0.5,0.5,0.503,0.503,0.503,Tablet,2k
NNET,meanRecall,cv_NNET_train.meanRecall,1,1,1,1,1,1,1,1,Tablet,2k
NNET,meanFscore,cv_NNET_train.meanFscore,0.664970481,0.665901158,0.665958141,0.666201059,0.665901158,0.668466958,0.668466958,0.668466958,Tablet,2k
SLDA,meanAccuracy,cv_SLDA_train.meanAccuracy,0.842336717,0.808415614,0.854248445,0.855690455,0.819846475,0.783182917,0.629579727,0.813831121,Tablet,2k
SLDA,meanPrecision,cv_SLDA_train.meanPrecision,0.878,0.822,0.884,0.886,0.838,0.805,0.662,0.838,Tablet,2k
SLDA,meanRecall,cv_SLDA_train.meanRecall,0.797,0.785,0.815,0.815,0.794,0.816,0.544,0.787,Tablet,2k
SLDA,meanFscore,cv_SLDA_train.meanFscore,0.834841038,0.801697908,0.847283069,0.848776594,0.814526883,0.799366627,0.593539628,0.809917669,Tablet,2k
BOOSTING,meanAccuracy,cv_BOOSTING_train.meanAccuracy,0.917532272,0.906464336,0.917195083,0.914985689,0.896498762,0.894243616,0.898695806,0.873340113,Tablet,2k
BOOSTING,meanPrecision,cv_BOOSTING_train.meanPrecision,0.912,0.898,0.918,0.925,0.887,0.845,0.636,0.845,Tablet,2k
BOOSTING,meanRecall,cv_BOOSTING_train.meanRecall,0.866,0.884,0.869,0.855,0.884,0.899,0.74,0.841,Tablet,2k
BOOSTING,meanFscore,cv_BOOSTING_train.meanFscore,0.88764397,0.890538589,0.891940515,0.888136651,0.88427308,0.869876529,0.677325005,0.841955443,Tablet,2k
NaiveBayes,meanAccuracy,cv_NaiveBayes_train.meanAccuracy,0.773600472,0.776753843,0.802067674,0.793836378,0.799138431,0.732941114,0.539685629,0.695891015,TV,2k
NaiveBayes,meanPrecision,cv_NaiveBayes_train.meanPrecision,0.859,0.862,0.891,0.885,0.891,0.794,0.536,0.665,TV,2k
NaiveBayes,meanRecall,cv_NaiveBayes_train.meanRecall,0.656,0.66,0.684,0.677,0.683,0.628,0.859,0.846,TV,2k
NaiveBayes,meanFscore,cv_NaiveBayes_train.meanFscore,0.743060204,0.746866194,0.772698556,0.765527217,0.772679529,0.699171836,0.637269637,0.731218598,TV,2k
MX,meanAccuracy,cv_MX_train.meanAccuracy,0.942046564,0.951606889,0.94905081,0.94847044,0.95464418,0.810017936,0.70702555,0.820896855,TV,2k
MX,meanPrecision,cv_MX_train.meanPrecision,0.953,0.97,0.961,0.962,0.965,0.826,0.708,0.844,TV,2k
MX,meanRecall,cv_MX_train.meanRecall,0.932,0.934,0.934,0.933,0.946,0.79,0.707,0.791,TV,2k
MX,meanFscore,cv_MX_train.meanFscore,0.941936934,0.951486017,0.947104583,0.946899405,0.955163937,0.806170579,0.706811404,0.815305512,TV,2k
SVM,meanAccuracy,cv_SVM_train.meanAccuracy,0.790402449,0.636208798,0.805478509,0.809411215,0.641961907,0.575151817,0.666174561,0.586946676,TV,2k
SVM,meanPrecision,cv_SVM_train.meanPrecision,0.763,0.607,0.786,0.791,0.612,0.547,0.628,0.559,TV,2k
SVM,meanRecall,cv_SVM_train.meanRecall,0.845,0.773,0.836,0.844,0.778,0.874,0.827,0.856,TV,2k
SVM,meanFscore,cv_SVM_train.meanFscore,0.801139805,0.679042351,0.80944399,0.815312999,0.684132235,0.672366913,0.713322936,0.675591576,TV,2k
BG,meanAccuracy,cv_BG_train.meanAccuracy,0.820771513,0.841655721,0.819159811,0.823009216,0.835848376,0.777715819,0.692466797,0.797784476,TV,2k
BG,meanPrecision,cv_BG_train.meanPrecision,0.803,0.825,0.802,0.817,0.823,0.776,0.688,0.795,TV,2k
BG,meanRecall,cv_BG_train.meanRecall,0.847,0.872,0.842,0.835,0.857,0.786,0.707,0.803,TV,2k
BG,meanFscore,cv_BG_train.meanFscore,0.823812456,0.846680392,0.820958688,0.82405744,0.838803006,0.780312138,0.696325326,0.798434301,TV,2k
TREE,meanAccuracy,cv_TREE_train.meanAccuracy,0.783201509,0.810808396,0.776441339,0.776606042,0.810808396,0.789296067,0.61363116,0.789296067,TV,2k
TREE,meanPrecision,cv_TREE_train.meanPrecision,0.768,0.802,0.754,0.766,0.802,0.796,0.592,0.796,TV,2k
TREE,meanRecall,cv_TREE_train.meanRecall,0.814,0.827,0.814,0.806,0.827,0.778,0.737,0.778,TV,2k
TREE,meanFscore,cv_TREE_train.meanFscore,0.789282996,0.813240287,0.782542655,0.782821268,0.813240287,0.785870073,0.651162258,0.785870073,TV,2k
RF,meanAccuracy,cv_RF_train.meanAccuracy,0.868734864,0.86765934,0.872513175,0.870124819,0.873296245,0.806220859,0.708063253,0.814327674,TV,2k
RF,meanPrecision,cv_RF_train.meanPrecision,0.878,0.864,0.877,0.872,0.868,0.802,0.704,0.812,TV,2k
RF,meanRecall,cv_RF_train.meanRecall,0.857,0.876,0.866,0.869,0.881,0.814,0.722,0.821,TV,2k
RF,meanFscore,cv_RF_train.meanFscore,0.86697988,0.868968675,0.87037233,0.869531975,0.873516952,0.806906119,0.711542762,0.815709253,TV,2k
NNET,meanAccuracy,cv_NNET_train.meanAccuracy,0.499390282,0.500715445,0.49946716,0.500451891,0.500715445,0.501011417,0.501011417,0.501011417,TV,2k
NNET,meanPrecision,cv_NNET_train.meanPrecision,0.5,0.502,0.501,0.501,0.502,0.5,0.5,0.5,TV,2k
NNET,meanRecall,cv_NNET_train.meanRecall,1,1,1,1,1,1,1,1,TV,2k
NNET,meanFscore,cv_NNET_train.meanFscore,0.666224068,0.667734486,0.666423012,0.667179162,0.667734486,0.66632465,0.66632465,0.66632465,TV,2k
SLDA,meanAccuracy,cv_SLDA_train.meanAccuracy,0.85243621,0.804386157,0.868386374,0.862507057,0.811484795,0.768351937,0.637596497,0.793106829,TV,2k
SLDA,meanPrecision,cv_SLDA_train.meanPrecision,0.874,0.821,0.886,0.879,0.823,0.79,0.675,0.82,TV,2k
SLDA,meanRecall,cv_SLDA_train.meanRecall,0.823,0.782,0.844,0.842,0.796,0.738,0.535,0.756,TV,2k
SLDA,meanFscore,cv_SLDA_train.meanFscore,0.846962364,0.79965994,0.864177998,0.859820995,0.807413138,0.76136799,0.594751666,0.785463562,TV,2k
BOOSTING,meanAccuracy,cv_BOOSTING_train.meanAccuracy,0.906447124,0.882667658,0.903313483,0.905877188,0.890948557,0.873625391,0.876881594,0.8687564,TV,2k
BOOSTING,meanPrecision,cv_BOOSTING_train.meanPrecision,0.889,0.862,0.895,0.892,0.864,0.838,0.718,0.829,TV,2k
BOOSTING,meanRecall,cv_BOOSTING_train.meanRecall,0.849,0.867,0.839,0.839,0.889,0.823,0.57,0.842,TV,2k
BOOSTING,meanFscore,cv_BOOSTING_train.meanFscore,0.868022328,0.862893332,0.865258096,0.863170735,0.87558339,0.828607965,0.61802438,0.834600009,TV,2k
NaiveBayes,meanAccuracy,cv_NaiveBayes_train.meanAccuracy,0.708453402,0.705661231,0.735493958,0.731641105,0.725873875,0.68328821,0.509926865,0.562752906,VS,2k
NaiveBayes,meanPrecision,cv_NaiveBayes_train.meanPrecision,0.802,0.802,0.836,0.819,0.817,0.755,0.54,0.667,VS,2k
NaiveBayes,meanRecall,cv_NaiveBayes_train.meanRecall,0.549,0.544,0.588,0.592,0.581,0.538,0.132,0.238,VS,2k
NaiveBayes,meanFscore,cv_NaiveBayes_train.meanFscore,0.650898698,0.646613842,0.68981419,0.686155868,0.67700055,0.627856145,0.210053792,0.347168439,VS,2k
